,continent,country,population,cases,deaths,tests,day,time
103,Africa,Mali,21473764.0,"{'new': None, 'active': 89, 'critical': None, 'recovered': 32332, '1M_pop': '1544', 'total': 33164}","{'new': None, '1M_pop': '35', 'total': 743}","{'1M_pop': '37483', 'total': 804909}",2024-12-22,2024-12-22T11:30:06+00:00
104,North-America,Saint-Lucia,185113.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29805, '1M_pop': '163225', 'total': 30215}","{'new': None, '1M_pop': '2215', 'total': 410}","{'1M_pop': '1139752', 'total': 210983}",2024-12-22,2024-12-22T11:30:06+00:00
105,South-America,Venezuela,29266991.0,"{'new': '+10', 'active': 302, 'critical': 31, 'recovered': 546537, '1M_pop': '18885', 'total': 552695}","{'new': None, '1M_pop': '200', 'total': 5856}","{'1M_pop': '114771', 'total': 3359014}",2024-12-22,2024-12-22T11:30:05+00:00
106,Africa,Egypt,106156692.0,"{'new': None, 'active': 49228, 'critical': 122, 'recovered': 442182, '1M_pop': '4861', 'total': 516023}","{'new': None, '1M_pop': '232', 'total': 24613}","{'1M_pop': '34792', 'total': 3693367}",2024-12-22,2024-12-22T11:30:05+00:00
107,Asia,Uzbekistan,34382084.0,"{'new': '+136', 'active': 10539, 'critical': 23, 'recovered': 241486, '1M_pop': '7378', 'total': 253662}","{'new': None, '1M_pop': '48', 'total': 1637}","{'1M_pop': '40077', 'total': 1377915}",2024-12-22,2024-12-22T11:30:05+00:00
108,Asia,Kyrgyzstan,6728271.0,"{'new': '+7', 'active': 7500, 'critical': 131, 'recovered': 196406, '1M_pop': '30750', 'total': 206897}","{'new': None, '1M_pop': '445', 'total': 2991}","{'1M_pop': '283460', 'total': 1907195}",2024-12-22,2024-12-22T11:30:05+00:00
109,Asia,Qatar,2979915.0,"{'new': '+28', 'active': 147, 'critical': 16, 'recovered': 513687, '1M_pop': '172664', 'total': 514524}","{'new': None, '1M_pop': '232', 'total': 690}","{'1M_pop': '1364257', 'total': 4065369}",2024-12-22,2024-12-22T11:30:05+00:00
110,Asia,Myanmar,55227143.0,"{'new': None, 'active': 2219, 'critical': None, 'recovered': 620159, '1M_pop': '11622', 'total': 641873}","{'new': None, '1M_pop': '353', 'total': 19495}","{'1M_pop': '212061', 'total': 11711514}",2024-12-22,2024-12-22T11:30:05+00:00
111,Europe,Moldova,4013171.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '158265', 'total': 635145}","{'new': None, '1M_pop': '3044', 'total': 12218}","{'1M_pop': '801437', 'total': 3216305}",2024-12-22,2024-12-22T11:30:05+00:00
112,Europe,Estonia,1321910.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '475123', 'total': 628070}","{'new': None, '1M_pop': '2270', 'total': 3001}","{'1M_pop': '5271239', 'total': 6968103}",2024-12-22,2024-12-22T11:30:05+00:00
113,Asia,Palestine,5345541.0,"{'new': None, 'active': 159, 'critical': None, 'recovered': 615445, '1M_pop': '116173', 'total': 621008}","{'new': None, '1M_pop': '1011', 'total': 5404}","{'1M_pop': '575907', 'total': 3078533}",2024-12-22,2024-12-22T11:30:05+00:00
114,Africa,Libya,7040745.0,"{'new': None, 'active': 2, 'critical': None, 'recovered': 500835, '1M_pop': '72048', 'total': 507274}","{'new': None, '1M_pop': '914', 'total': 6437}","{'1M_pop': '352782', 'total': 2483848}",2024-12-22,2024-12-22T11:30:05+00:00
115,Africa,Ethiopia,120812698.0,"{'new': None, 'active': 5412, 'critical': None, 'recovered': 488171, '1M_pop': '4148', 'total': 501157}","{'new': None, '1M_pop': '63', 'total': 7574}","{'1M_pop': '46066', 'total': 5565340}",2024-12-22,2024-12-22T11:30:05+00:00
116,Africa,R&eacute;union,908061.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '544672', 'total': 494595}","{'new': None, '1M_pop': '1014', 'total': 921}","{'1M_pop': '1766027', 'total': 1603660}",2024-12-22,2024-12-22T11:30:05+00:00
117,North-America,Honduras,10221247.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '46432', 'total': 474590}","{'new': None, '1M_pop': '1092', 'total': 11165}","{'1M_pop': '162472', 'total': 1660662}",2024-12-22,2024-12-22T11:30:05+00:00
118,Asia,Armenia,2971966.0,"{'new': None, 'active': 7892, 'critical': None, 'recovered': 435162, '1M_pop': '152031', 'total': 451831}","{'new': None, '1M_pop': '2953', 'total': 8777}","{'1M_pop': '1091164', 'total': 3242901}",2024-12-22,2024-12-22T11:30:05+00:00
119,Europe,Bosnia-and-Herzegovina,3249317.0,"{'new': None, 'active': 8143, 'critical': None, 'recovered': 379084, '1M_pop': '124215', 'total': 403615}","{'new': None, '1M_pop': '5044', 'total': 16388}","{'1M_pop': '580036', 'total': 1884721}",2024-12-22,2024-12-22T11:30:05+00:00
120,Asia,Oman,5323993.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '75028', 'total': 399449}","{'new': None, '1M_pop': '869', 'total': 4628}","{'1M_pop': '4695724', 'total': 25000000}",2024-12-22,2024-12-22T11:30:05+00:00
121,Europe,Luxembourg,642371.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '609044', 'total': 391232}","{'new': None, '1M_pop': '1918', 'total': 1232}","{'1M_pop': '7140959', 'total': 4587145}",2024-12-22,2024-12-22T11:30:05+00:00
122,Europe,North-Macedonia,2081304.0,"{'new': None, 'active': 3523, 'critical': None, 'recovered': 337068, '1M_pop': '168436', 'total': 350567}","{'new': None, '1M_pop': '4793', 'total': 9976}","{'1M_pop': '1069626', 'total': 2226216}",2024-12-22,2024-12-22T11:30:05+00:00
123,Africa,Zambia,19470234.0,"{'new': None, 'active': 3919, 'critical': None, 'recovered': 341316, '1M_pop': '17940', 'total': 349304}","{'new': None, '1M_pop': '209', 'total': 4069}","{'1M_pop': '211244', 'total': 4112961}",2024-12-22,2024-12-22T11:30:05+00:00
124,Africa,Kenya,56215221.0,"{'new': None, 'active': 1132, 'critical': None, 'recovered': 337309, '1M_pop': '6122', 'total': 344130}","{'new': None, '1M_pop': '101', 'total': 5689}","{'1M_pop': '70569', 'total': 3967062}",2024-12-22,2024-12-22T11:30:05+00:00
125,Asia,Brunei,445431.0,"{'new': None, 'active': 99893, 'critical': 3, 'recovered': 243601, '1M_pop': '771655', 'total': 343719}","{'new': None, '1M_pop': '505', 'total': 225}","{'1M_pop': '1611437', 'total': 717784}",2024-12-22,2024-12-22T11:30:05+00:00
126,Europe,Albania,2866374.0,"{'new': None, 'active': 1025, 'critical': None, 'recovered': 330233, '1M_pop': '116825', 'total': 334863}","{'new': None, '1M_pop': '1258', 'total': 3605}","{'1M_pop': '677173', 'total': 1941032}",2024-12-22,2024-12-22T11:30:05+00:00
127,Africa,Botswana,2441162.0,"{'new': None, 'active': 788, 'critical': 1, 'recovered': 327049, '1M_pop': '135443', 'total': 330638}","{'new': None, '1M_pop': '1147', 'total': 2801}","{'1M_pop': '830300', 'total': 2026898}",2024-12-22,2024-12-22T11:30:05+00:00
128,Europe,Montenegro,627950.0,"{'new': None, 'active': 1902, 'critical': None, 'recovered': 291794, '1M_pop': '472238', 'total': 296542}","{'new': None, '1M_pop': '4532', 'total': 2846}","{'1M_pop': '4410034', 'total': 2769281}",2024-12-22,2024-12-22T11:30:05+00:00
129,Africa,Algeria,45350148.0,"{'new': None, 'active': 82068, 'critical': None, 'recovered': 183061, '1M_pop': '5998', 'total': 272010}","{'new': None, '1M_pop': '152', 'total': 6881}","{'1M_pop': '5093', 'total': 230960}",2024-12-22,2024-12-22T11:30:05+00:00
130,Africa,Nigeria,216746934.0,"{'new': None, 'active': 4080, 'critical': 11, 'recovered': 259953, '1M_pop': '1233', 'total': 267188}","{'new': None, '1M_pop': '15', 'total': 3155}","{'1M_pop': '26339', 'total': 5708974}",2024-12-22,2024-12-22T11:30:05+00:00
131,Africa,Zimbabwe,15331428.0,"{'new': None, 'active': 1731, 'critical': 12, 'recovered': 258888, '1M_pop': '17373', 'total': 266359}","{'new': None, '1M_pop': '374', 'total': 5740}","{'1M_pop': '164744', 'total': 2525756}",2024-12-22,2024-12-22T11:30:05+00:00
132,Asia,Afghanistan,40754388.0,"{'new': None, 'active': 15098, 'critical': None, 'recovered': 211080, '1M_pop': '5746', 'total': 234174}","{'new': None, '1M_pop': '196', 'total': 7996}","{'1M_pop': '34125', 'total': 1390730}",2024-12-22,2024-12-22T11:30:05+00:00
133,Africa,Mozambique,33089461.0,"{'new': None, 'active': 2676, 'critical': 11, 'recovered': 228805, '1M_pop': '7064', 'total': 233731}","{'new': None, '1M_pop': '68', 'total': 2250}","{'1M_pop': '41437', 'total': 1371127}",2024-12-22,2024-12-22T11:30:05+00:00
134,North-America,Martinique,374087.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '615777', 'total': 230354}","{'new': None, '1M_pop': '2946', 'total': 1102}","{'1M_pop': '2215870', 'total': 828928}",2024-12-22,2024-12-22T11:30:05+00:00
135,Asia,Laos,7481023.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '29270', 'total': 218970}","{'new': None, '1M_pop': '101', 'total': 758}","{'1M_pop': '164845', 'total': 1233207}",2024-12-22,2024-12-22T11:30:05+00:00
136,Europe,Iceland,345393.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '607731', 'total': 209906}","{'new': None, '1M_pop': '663', 'total': 229}","{'1M_pop': '5780036', 'total': 1996384}",2024-12-22,2024-12-22T11:30:05+00:00
137,North-America,Guadeloupe,399794.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '508349', 'total': 203235}","{'new': None, '1M_pop': '2554', 'total': 1021}","{'1M_pop': '2346306', 'total': 938039}",2024-12-22,2024-12-22T11:30:05+00:00
138,North-America,El-Salvador,6550389.0,"{'new': None, 'active': 18215, 'critical': None, 'recovered': 179410, '1M_pop': '30816', 'total': 201855}","{'new': None, '1M_pop': '646', 'total': 4230}","{'1M_pop': '398467', 'total': 2610114}",2024-12-22,2024-12-22T11:30:05+00:00
139,North-America,Trinidad-and-Tobago,1406585.0,"{'new': None, 'active': 28, 'critical': None, 'recovered': 187078, '1M_pop': '136143', 'total': 191496}","{'new': None, '1M_pop': '3121', 'total': 4390}","{'1M_pop': '649295', 'total': 913289}",2024-12-22,2024-12-22T11:30:05+00:00
140,Asia,Maldives,540985.0,"{'new': None, 'active': 22691, 'critical': 25, 'recovered': 163687, '1M_pop': '345100', 'total': 186694}","{'new': None, '1M_pop': '584', 'total': 316}","{'1M_pop': '4092223', 'total': 2213831}",2024-12-22,2024-12-22T11:30:05+00:00
141,Africa,Namibia,2633874.0,"{'new': None, 'active': 1184, 'critical': None, 'recovered': 167099, '1M_pop': '65451', 'total': 172389}","{'new': None, '1M_pop': '1559', 'total': 4106}","{'1M_pop': '403460', 'total': 1062663}",2024-12-22,2024-12-22T11:30:05+00:00
142,Africa,Uganda,48432863.0,"{'new': None, 'active': 68086, 'critical': None, 'recovered': 100431, '1M_pop': '3554', 'total': 172149}","{'new': None, '1M_pop': '75', 'total': 3632}","{'1M_pop': '62198', 'total': 3012408}",2024-12-22,2024-12-22T11:30:05+00:00
143,Africa,Ghana,32395450.0,"{'new': None, 'active': 2, 'critical': None, 'recovered': 170425, '1M_pop': '5306', 'total': 171889}","{'new': None, '1M_pop': '45', 'total': 1462}","{'1M_pop': '78456', 'total': 2541625}",2024-12-22,2024-12-22T11:30:05+00:00
144,North-America,Jamaica,2985094.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '52551', 'total': 156869}","{'new': None, '1M_pop': '1258', 'total': 3756}","{'1M_pop': '396633', 'total': 1183986}",2024-12-22,2024-12-22T11:30:05+00:00
145,Asia,Cambodia,17168639.0,"{'new': None, 'active': 3, 'critical': None, 'recovered': 136044, '1M_pop': '8102', 'total': 139103}","{'new': None, '1M_pop': '178', 'total': 3056}","{'1M_pop': '180062', 'total': 3091420}",2024-12-22,2024-12-22T11:30:05+00:00
146,Africa,Rwanda,13600464.0,"{'new': None, 'active': 11, 'critical': None, 'recovered': 132039, '1M_pop': '9817', 'total': 133518}","{'new': None, '1M_pop': '108', 'total': 1468}","{'1M_pop': '442778', 'total': 6021981}",2024-12-22,2024-12-22T11:30:05+00:00
147,Africa,Cameroon,27911548.0,"{'new': None, 'active': 125, 'critical': None, 'recovered': 123280, '1M_pop': '4492', 'total': 125379}","{'new': None, '1M_pop': '71', 'total': 1974}","{'1M_pop': '62762', 'total': 1751774}",2024-12-22,2024-12-22T11:30:05+00:00
148,Asia,Jordan,10300869.0,"{'new': None, 'active': 1868, 'critical': 59, 'recovered': 1731007, '1M_pop': '169597', 'total': 1746997}","{'new': None, '1M_pop': '1371', 'total': 14122}","{'1M_pop': '1669945', 'total': 17201885}",2024-12-22,2024-12-22T11:30:04+00:00
149,Europe,Belarus,9432800.0,"{'new': None, 'active': 1327, 'critical': None, 'recovered': 985592, '1M_pop': '105381', 'total': 994037}","{'new': None, '1M_pop': '755', 'total': 7118}","{'1M_pop': '1446722', 'total': 13646641}",2024-12-22,2024-12-22T11:30:04+00:00
150,Asia,Kazakhstan,19205043.0,"{'new': '+63', 'active': 14963, 'critical': 24, 'recovered': 1383020, '1M_pop': '73514', 'total': 1411831}","{'new': None, '1M_pop': '721', 'total': 13848}","{'1M_pop': '602707', 'total': 11575012}",2024-12-22,2024-12-22T11:30:04+00:00
151,Europe,Sweden,10218971.0,"{'new': None, 'active': 230, 'critical': None, 'recovered': 2726492, '1M_pop': '269511', 'total': 2754129}","{'new': None, '1M_pop': '2682', 'total': 27407}","{'1M_pop': '1908301', 'total': 19500873}",2024-12-22,2024-12-22T11:30:04+00:00
152,Oceania,New-Zealand,4898203.0,"{'new': None, 'active': 1623, 'critical': None, 'recovered': 2613791, '1M_pop': '535117', 'total': 2621111}","{'new': None, '1M_pop': '1163', 'total': 5697}","{'1M_pop': '1586011', 'total': 7768604}",2024-12-22,2024-12-22T11:30:04+00:00
153,Europe,Serbia,8653016.0,"{'new': None, 'active': 389, 'critical': None, 'recovered': 2596608, '1M_pop': '302213', 'total': 2615054}","{'new': None, '1M_pop': '2087', 'total': 18057}","{'1M_pop': '1555958', 'total': 13463733}",2024-12-22,2024-12-22T11:30:04+00:00
154,Asia,Iraq,42164965.0,"{'new': None, 'active': 673, 'critical': None, 'recovered': 2439497, '1M_pop': '58474', 'total': 2465545}","{'new': None, '1M_pop': '602', 'total': 25375}","{'1M_pop': '463523', 'total': 19544451}",2024-12-22,2024-12-22T11:30:04+00:00
155,Europe,Hungary,9606259.0,"{'new': None, 'active': 29029, 'critical': None, 'recovered': 2152155, '1M_pop': '232164', 'total': 2230232}","{'new': None, '1M_pop': '5106', 'total': 49048}","{'1M_pop': '1186160', 'total': 11394556}",2024-12-22,2024-12-22T11:30:04+00:00
156,Asia,Bangladesh,167885689.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '12207', 'total': 2049377}","{'new': None, '1M_pop': '176', 'total': 29493}","{'1M_pop': '90862', 'total': 15254399}",2024-12-22,2024-12-22T11:30:04+00:00
157,Europe,Slovakia,5460193.0,"{'new': None, 'active': 0, 'critical': 23, 'recovered': 1856381, '1M_pop': '343872', 'total': 1877605}","{'new': None, '1M_pop': '3887', 'total': 21224}","{'1M_pop': '1364199', 'total': 7448789}",2024-12-22,2024-12-22T11:30:04+00:00
158,Asia,Georgia,3968738.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '469082', 'total': 1861665}","{'new': None, '1M_pop': '4317', 'total': 17132}","{'1M_pop': '4263340', 'total': 16920079}",2024-12-22,2024-12-22T11:30:04+00:00
159,Europe,Ireland,5020199.0,"{'new': None, 'active': 170, 'critical': 19, 'recovered': 1724921, '1M_pop': '345521', 'total': 1734582}","{'new': None, '1M_pop': '1891', 'total': 9491}","{'1M_pop': '2606161', 'total': 13083449}",2024-12-22,2024-12-22T11:30:04+00:00
160,Asia,Pakistan,229488994.0,"{'new': None, 'active': 12583, 'critical': None, 'recovered': 1538689, '1M_pop': '6893', 'total': 1581936}","{'new': None, '1M_pop': '134', 'total': 30664}","{'1M_pop': '133292', 'total': 30589153}",2024-12-22,2024-12-22T11:30:04+00:00
161,Europe,Finland,5554960.0,"{'new': None, 'active': 170, 'critical': None, 'recovered': 1503989, '1M_pop': '272930', 'total': 1516117}","{'new': None, '1M_pop': '2153', 'total': 11958}","{'1M_pop': '2179850', 'total': 12108977}",2024-12-22,2024-12-22T11:30:04+00:00
162,Europe,Norway,5511370.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1503094, '1M_pop': '273930', 'total': 1509732}","{'new': None, '1M_pop': '1204', 'total': 6638}","{'1M_pop': '1996315', 'total': 11002430}",2024-12-22,2024-12-22T11:30:04+00:00
163,Europe,Lithuania,2661708.0,"{'new': None, 'active': 431, 'critical': None, 'recovered': 1387478, '1M_pop': '525154', 'total': 1397806}","{'new': None, '1M_pop': '3718', 'total': 9897}","{'1M_pop': '3959997', 'total': 10540357}",2024-12-22,2024-12-22T11:30:04+00:00
164,Europe,Slovenia,2078034.0,"{'new': None, 'active': 22, 'critical': None, 'recovered': 1349424, '1M_pop': '652803', 'total': 1356546}","{'new': None, '1M_pop': '3417', 'total': 7100}","{'1M_pop': '1370382', 'total': 2847701}",2024-12-22,2024-12-22T11:30:04+00:00
165,Europe,Bulgaria,6844597.0,"{'new': None, 'active': 8159, 'critical': 22, 'recovered': 1292944, '1M_pop': '195753', 'total': 1339851}","{'new': None, '1M_pop': '5661', 'total': 38748}","{'1M_pop': '1705147', 'total': 11671043}",2024-12-22,2024-12-22T11:30:04+00:00
166,Europe,Croatia,4059286.0,"{'new': None, 'active': 32609, 'critical': None, 'recovered': 1258432, '1M_pop': '322650', 'total': 1309728}","{'new': None, '1M_pop': '4604', 'total': 18687}","{'1M_pop': '1394355', 'total': 5660084}",2024-12-22,2024-12-22T11:30:04+00:00
167,North-America,Guatemala,18584039.0,"{'new': None, 'active': 1113, 'critical': 5, 'recovered': 1269891, '1M_pop': '69484', 'total': 1291293}","{'new': None, '1M_pop': '1092', 'total': 20289}","{'1M_pop': '408622', 'total': 7593848}",2024-12-22,2024-12-22T11:30:04+00:00
168,Africa,Morocco,37772756.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '33860', 'total': 1278992}","{'new': None, '1M_pop': '432', 'total': 16303}","{'1M_pop': '344191', 'total': 13001033}",2024-12-22,2024-12-22T11:30:04+00:00
169,Asia,Lebanon,6684849.0,"{'new': None, 'active': 145299, 'critical': 74, 'recovered': 1087587, '1M_pop': '186068', 'total': 1243838}","{'new': None, '1M_pop': '1638', 'total': 10952}","{'1M_pop': '717380', 'total': 4795578}",2024-12-22,2024-12-22T11:30:04+00:00
170,North-America,Costa-Rica,5182354.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '239058', 'total': 1238883}","{'new': None, '1M_pop': '1819', 'total': 9428}","{'1M_pop': '899158', 'total': 4659757}",2024-12-22,2024-12-22T11:30:04+00:00
171,South-America,Bolivia,11992656.0,"{'new': None, 'active': 12579, 'critical': 220, 'recovered': 1177145, '1M_pop': '101073', 'total': 1212131}","{'new': None, '1M_pop': '1868', 'total': 22407}","{'1M_pop': '225993', 'total': 2710261}",2024-12-22,2024-12-22T11:30:04+00:00
172,Africa,Tunisia,12046656.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '95741', 'total': 1153361}","{'new': None, '1M_pop': '2442', 'total': 29423}","{'1M_pop': '416164', 'total': 5013383}",2024-12-22,2024-12-22T11:30:04+00:00
173,North-America,Cuba,11305652.0,"{'new': None, 'active': 61, 'critical': None, 'recovered': 1106660, '1M_pop': '98645', 'total': 1115251}","{'new': None, '1M_pop': '754', 'total': 8530}","{'1M_pop': '1273936', 'total': 14402674}",2024-12-22,2024-12-22T11:30:04+00:00
174,South-America,Ecuador,18113361.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1034145, '1M_pop': '59083', 'total': 1070188}","{'new': None, '1M_pop': '1990', 'total': 36043}","{'1M_pop': '170173', 'total': 3082403}",2024-12-22,2024-12-22T11:30:04+00:00
175,Asia,UAE,10081785.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '105837', 'total': 1067030}","{'new': None, '1M_pop': '233', 'total': 2349}","{'1M_pop': '19910389', 'total': 200732262}",2024-12-22,2024-12-22T11:30:04+00:00
176,North-America,Panama,4446964.0,"{'new': None, 'active': 64, 'critical': 16, 'recovered': 1051102, '1M_pop': '238341', 'total': 1059893}","{'new': None, '1M_pop': '1962', 'total': 8727}","{'1M_pop': '1772585', 'total': 7882622}",2024-12-22,2024-12-22T11:30:04+00:00
177,South-America,Uruguay,3496016.0,"{'new': None, 'active': 2503, 'critical': 18, 'recovered': 1030944, '1M_pop': '297799', 'total': 1041111}","{'new': None, '1M_pop': '2192', 'total': 7664}","{'1M_pop': '1749083', 'total': 6114822}",2024-12-22,2024-12-22T11:30:04+00:00
178,Asia,Mongolia,3378078.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1009212, '1M_pop': '299429', 'total': 1011496}","{'new': None, '1M_pop': '676', 'total': 2284}","{'1M_pop': '1193000', 'total': 4030048}",2024-12-22,2024-12-22T11:30:04+00:00
179,Asia,Nepal,30225582.0,"{'new': None, 'active': 97, 'critical': None, 'recovered': 991322, '1M_pop': '33199', 'total': 1003450}","{'new': None, '1M_pop': '398', 'total': 12031}","{'1M_pop': '200088', 'total': 6047766}",2024-12-22,2024-12-22T11:30:04+00:00
180,Europe,Latvia,1848837.0,"{'new': None, 'active': 4384, 'critical': None, 'recovered': 971406, '1M_pop': '531418', 'total': 982505}","{'new': None, '1M_pop': '3632', 'total': 6715}","{'1M_pop': '4265272', 'total': 7885792}",2024-12-22,2024-12-22T11:30:04+00:00
181,Asia,Saudi-Arabia,35844909.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '23475', 'total': 841469}","{'new': None, '1M_pop': '269', 'total': 9646}","{'1M_pop': '1268848', 'total': 45481735}",2024-12-22,2024-12-22T11:30:04+00:00
182,South-America,Paraguay,7305843.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '114648', 'total': 837602}","{'new': None, '1M_pop': '2759', 'total': 20155}","{'1M_pop': '363751', 'total': 2657506}",2024-12-22,2024-12-22T11:30:04+00:00
183,Asia,Azerbaijan,10300205.0,"{'new': None, 'active': 745, 'critical': None, 'recovered': 824089, '1M_pop': '81089', 'total': 835234}","{'new': None, '1M_pop': '1010', 'total': 10400}","{'1M_pop': '752223', 'total': 7748050}",2024-12-22,2024-12-22T11:30:04+00:00
184,Asia,Bahrain,1783983.0,"{'new': None, 'active': 60, 'critical': None, 'recovered': 727915, '1M_pop': '408944', 'total': 729549}","{'new': None, '1M_pop': '882', 'total': 1574}","{'1M_pop': '6137138', 'total': 10948549}",2024-12-22,2024-12-22T11:30:04+00:00
185,Asia,Cyprus,1223387.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 679745, '1M_pop': '556741', 'total': 681110}","{'new': None, '1M_pop': '1116', 'total': 1365}","{'1M_pop': '7879860', 'total': 9640118}",2024-12-22,2024-12-22T11:30:04+00:00
186,North-America,Dominican-Republic,11056370.0,"{'new': None, 'active': 190, 'critical': 4, 'recovered': 671316, '1M_pop': '61131', 'total': 675890}","{'new': None, '1M_pop': '397', 'total': 4384}","{'1M_pop': '338350', 'total': 3740928}",2024-12-22,2024-12-22T11:30:04+00:00
187,Asia,Sri-Lanka,21575842.0,"{'new': None, 'active': 5, 'critical': None, 'recovered': 655852, '1M_pop': '31181', 'total': 672754}","{'new': None, '1M_pop': '783', 'total': 16897}","{'1M_pop': '300619', 'total': 6486117}",2024-12-22,2024-12-22T11:30:04+00:00
188,Asia,Kuwait,4380326.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '152308', 'total': 667158}","{'new': None, '1M_pop': '587', 'total': 2570}","{'1M_pop': '1930391', 'total': 8455743}",2024-12-22,2024-12-22T11:30:04+00:00
189,Asia,DPRK,25990679.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 4772739, '1M_pop': '183636', 'total': 4772813}","{'new': None, '1M_pop': '3', 'total': 74}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:03+00:00
190,Africa,South-Africa,60756135.0,"{'new': '+614', 'active': 61362, 'critical': 192, 'recovered': 3912506, '1M_pop': '67095', 'total': 4076463}","{'new': None, '1M_pop': '1689', 'total': 102595}","{'1M_pop': '441027', 'total': 26795090}",2024-12-22,2024-12-22T11:30:03+00:00
191,Europe,Ukraine,43192122.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 5445577, '1M_pop': '128681', 'total': 5557995}","{'new': None, '1M_pop': '2603', 'total': 112418}","{'1M_pop': '754855', 'total': 32603805}",2024-12-22,2024-12-22T11:30:03+00:00
192,Europe,Spain,46719142.0,"{'new': '+702', 'active': 30634, 'critical': 231, 'recovered': 13762417, '1M_pop': '297840', 'total': 13914811}","{'new': '+8', '1M_pop': '2606', 'total': 121760}","{'1M_pop': '10082298', 'total': 471036328}",2024-12-22,2024-12-22T11:30:03+00:00
193,Europe,Germany,83883596.0,"{'new': None, 'active': 405368, 'critical': None, 'recovered': 38240600, '1M_pop': '462891', 'total': 38828995}","{'new': None, '1M_pop': '2182', 'total': 183027}","{'1M_pop': '1458359', 'total': 122332384}",2024-12-22,2024-12-22T11:30:03+00:00
194,South-America,Brazil,215353593.0,"{'new': None, 'active': 1783377, 'critical': None, 'recovered': 36249161, '1M_pop': '179908', 'total': 38743918}","{'new': None, '1M_pop': '3303', 'total': 711380}","{'1M_pop': '296146', 'total': 63776166}",2024-12-22,2024-12-22T11:30:03+00:00
195,Asia,S-Korea,51329899.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 34535939, '1M_pop': '673523', 'total': 34571873}","{'new': None, '1M_pop': '700', 'total': 35934}","{'1M_pop': '307892', 'total': 15804065}",2024-12-22,2024-12-22T11:30:03+00:00
196,Asia,Japan,125584838.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '269169', 'total': 33803572}","{'new': None, '1M_pop': '595', 'total': 74694}","{'1M_pop': '799578', 'total': 100414883}",2024-12-22,2024-12-22T11:30:03+00:00
197,Europe,Italy,60262770.0,"{'new': None, 'active': 165544, 'critical': 22, 'recovered': 26361218, '1M_pop': '443445', 'total': 26723249}","{'new': None, '1M_pop': '3261', 'total': 196487}","{'1M_pop': '4665010', 'total': 281126449}",2024-12-22,2024-12-22T11:30:03+00:00
198,Europe,UK,68497907.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 24678275, '1M_pop': '363666', 'total': 24910387}","{'new': None, '1M_pop': '3389', 'total': 232112}","{'1M_pop': '7628357', 'total': 522526476}",2024-12-22,2024-12-22T11:30:03+00:00
199,Europe,Russia,145805947.0,"{'new': None, 'active': 175641, 'critical': None, 'recovered': 23545818, '1M_pop': '165454', 'total': 24124215}","{'new': None, '1M_pop': '2762', 'total': 402756}","{'1M_pop': '1875095', 'total': 273400000}",2024-12-22,2024-12-22T11:30:03+00:00
200,Asia,Turkey,85561976.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '201399', 'total': 17232066}","{'new': None, '1M_pop': '1194', 'total': 102174}","{'1M_pop': '1902052', 'total': 162743369}",2024-12-22,2024-12-22T11:30:03+00:00
