,id,original_title,title,popularity,release_date,vote_average,vote_count
1188,216156,Still Life,Still Life,11.365,2013-11-28,7.531,359
1189,127585,X-Men: Days of Future Past,X-Men: Days of Future Past,58.411,2014-05-15,7.531,15287
1190,37769,Il secondo tragico Fantozzi,The Second Tragic Fantozzi,9.282,1976-04-15,7.5,593
1191,36095,キュア,Cure,25.932,1997-12-27,7.5,540
1192,15472,Män som hatar kvinnor,The Girl with the Dragon Tattoo,30.762,2009-02-27,7.531,2940
1193,12163,The Wrestler,The Wrestler,25.045,2008-09-07,7.5,3619
1194,2487,修羅雪姫,Lady Snowblood,14.133,1973-12-01,7.5,358
1195,588228,The Tomorrow War,The Tomorrow War,86.4,2021-09-03,7.53,3477
1196,11178,엽기적인 그녀,My Sassy Girl,27.331,2001-07-27,7.5,564
1197,10161,My Left Foot: The Story of Christy Brown,My Left Foot: The Story of Christy Brown,19.617,1989-04-07,7.5,912
1198,9056,警察故事,Police Story,21.179,1985-12-14,7.5,878
1199,430,"One, Two, Three","One, Two, Three",14.684,1961-12-15,7.5,365
1200,1155089,Justice League: Crisis on Infinite Earths Part One,Justice League: Crisis on Infinite Earths Part One,58.183,2024-01-08,7.5,303
1201,59436,Midnight in Paris,Midnight in Paris,35.071,2011-05-11,7.528,7259
1202,16391,Black Narcissus,Black Narcissus,16.001,1947-05-26,7.5,476
1203,200085,감기,The Flu,29.944,2013-08-14,7.5,1175
1204,39107,ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,Dragon Ball Z: Fusion Reborn,39.742,1995-03-04,7.527,846
1205,15014,Bianca,Bianca,8.267,1984-02-23,7.527,384
1206,10778,The Man Who Wasn't There,The Man Who Wasn't There,18.165,2001-10-26,7.527,1562
1207,4553,The Machinist,The Machinist,25.681,2004-07-02,7.5,5553
1208,856,Who Framed Roger Rabbit,Who Framed Roger Rabbit,38.552,1988-06-21,7.5,5666
1209,204553,감시자들,Cold Eyes,22.2,2013-07-03,7.5,346
1210,200481,The Blue Umbrella,The Blue Umbrella,10.377,2013-02-12,7.5,550
1211,11046,Where Eagles Dare,Where Eagles Dare,35.866,1968-12-04,7.5,878
1212,786892,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,184.388,2024-05-22,7.523,3574
1213,5708,Control,Control,16.187,2007-09-12,7.528,839
1214,5165,L'avventura,L'Avventura,10.945,1960-09-14,7.5,676
1215,592,The Conversation,The Conversation,23.371,1974-04-07,7.5,1730
1216,10734,Escape from Alcatraz,Escape from Alcatraz,42.124,1979-06-22,7.5,2767
1217,1949,Zodiac,Zodiac,42.691,2007-03-02,7.524,10505
1218,571,The Birds,The Birds,25.02,1963-03-28,7.525,4075
1219,730840,Trollhunters: Rise of the Titans,Trollhunters: Rise of the Titans,25.392,2021-07-21,7.5,332
1220,18925,Facing the Giants,Facing the Giants,27.935,2006-09-29,7.5,438
1221,491418,Instant Family,Instant Family,34.371,2018-11-13,7.5,2948
1222,15371,ルパン三世 カリオストロの城,Lupin the Third: The Castle of Cagliostro,24.615,1979-07-06,7.5,1029
1223,3482,The Train,The Train,23.448,1964-09-24,7.5,316
1224,850165,The Iron Claw,The Iron Claw,29.785,2023-12-21,7.5,876
1225,382614,The Book of Henry,The Book of Henry,12.595,2017-06-16,7.5,1286
1226,71883,レッドライン,Redline,18.515,2010-05-27,7.5,460
1227,11544,Lilo & Stitch,Lilo & Stitch,75.131,2002-06-21,7.5,6216
1228,3116,Midnight Cowboy,Midnight Cowboy,25.581,1969-05-25,7.5,1403
1229,11686,Love and Death,Love and Death,16.654,1975-06-10,7.5,890
1230,269,À bout de souffle,Breathless,20.687,1960-03-16,7.5,1805
1231,10110,Empire of the Sun,Empire of the Sun,21.804,1987-12-09,7.5,1904
1232,456929,Campeones,Champions,13.254,2018-04-06,7.5,733
1233,4909,The Day of the Jackal,The Day of the Jackal,63.985,1973-05-16,7.5,553
1234,668742,Padre no hay más que uno 2: la llegada de la suegra,Father There Is Only One 2,14.842,2020-07-29,7.5,544
1235,1051,The French Connection,The French Connection,25.522,1971-10-09,7.5,1843
1236,339,Night on Earth,Night on Earth,18.818,1991-12-12,7.5,899
1237,810171,The Valet,The Valet,30.347,2022-05-11,7.5,556
1238,9340,The Goonies,The Goonies,44.348,1985-06-07,7.516,5698
1239,5143,Hannah and Her Sisters,Hannah and Her Sisters,17.676,1986-02-07,7.518,1042
1240,601,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,47.113,1982-06-11,7.5,11181
1241,433471,Lou,Lou,10.158,2017-06-16,7.515,390
1242,11040,Little Big Man,Little Big Man,12.29,1970-12-23,7.5,621
1243,221,Rebel Without a Cause,Rebel Without a Cause,24.942,1955-10-27,7.515,1608
1244,614934,Elvis,Elvis,35.57,2022-06-22,7.514,3414
1245,127533,るろうに剣心,Rurouni Kenshin Part I: Origins,28.068,2012-08-25,7.514,810
1246,11528,The Sandlot,The Sandlot,33.189,1993-04-07,7.514,1173
1247,6620,Sabrina,Sabrina,21.221,1954-09-10,7.5,1225
1248,13413,BURN·E,BURN·E,11.539,2008-11-17,7.513,733
1249,63311,La piel que habito,The Skin I Live In,33.271,2011-08-17,7.512,4200
1250,22292,The Ghost and Mrs. Muir,The Ghost and Mrs. Muir,15.298,1947-05-25,7.5,304
1251,3767,Gilda,Gilda,14.831,1946-04-25,7.5,578
1252,1786,Au revoir les enfants,Au Revoir les Enfants,19.232,1987-10-07,7.512,652
1253,132344,Before Midnight,Before Midnight,17.28,2013-04-05,7.5,2379
1254,1600,La Double Vie de Véronique,The Double Life of Véronique,18.462,1991-05-15,7.5,782
1255,966,The Magnificent Seven,The Magnificent Seven,30.386,1960-10-12,7.5,1773
1256,179144,La grande bellezza,The Great Beauty,19.574,2013-05-21,7.51,3080
1257,8073,Bande à part,Band of Outsiders,15.623,1964-08-05,7.5,558
1258,176241,Prison Break: The Final Break,Prison Break: The Final Break,44.257,2009-09-10,7.509,652
1259,25468,My Dinner with Andre,My Dinner with Andre,21.489,1981-10-11,7.5,390
1260,921655,Rescued by Ruby,Rescued by Ruby,15.549,2022-03-17,7.5,308
1261,503919,The Lighthouse,The Lighthouse,35.825,2019-10-18,7.508,4868
1262,487558,BlacKkKlansman,BlacKkKlansman,17.587,2018-08-09,7.508,7506
1263,451657,Jusqu'à la garde,Custody,9.603,2018-02-07,7.508,645
1264,375262,The Favourite,The Favourite,21.691,2018-11-23,7.508,5486
1265,30368,野良犬,Stray Dog,19.198,1949-10-17,7.5,300
1266,24807,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,14.076,1936-04-09,7.5,357
