Product Name,Colours,Price,Rating,Ratings Count,Reviews Count,RAM (GB),ROM (GB),Display (inch),Battery Capacity (mAh)
SAMSUNG Galaxy Z Flip6 5G,Mint,109999,4.4,96,11,12,256,6.7,4000
SAMSUNG Galaxy S20 FE,Cloud Navy,27450,4,1292,103,8,128,6.5,4500
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy Z Flip5,Cream,69999,4.4,755,45,8,256,6.7,3700
SAMSUNG Galaxy A54 5G,Awesome Lime,28999,4.3,4363,369,8,128,6.4,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S24 5G,Marble Gray,74999,4.5,1476,162,8,128,6.2,4000
SAMSUNG Galaxy A04e,Copper,8999,4.1,85,2,4,128,6.5,5000
SAMSUNG Galaxy Z Flip5,Lavender,102499,4.4,755,45,8,512,6.7,3700
SAMSUNG Galaxy Z Flip5,Lavender,94899,4.4,755,45,8,256,6.7,3700
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
Samsung Galaxy S21 FE 5G with Snapdragon 888,Lavender,45999,4.3,50166,14030,8,128,6.4,4500
SAMSUNG Galaxy A03,Blue,8010,4.1,1094,64,3,32,6.5,5000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy A05s,Light Violet,12999,4.2,149,8,6,128,6.72,5000
SAMSUNG Galaxy Z Flip4 5G,Bora Purple,59999,3.9,364,24,8,128,6.7,3700
SAMSUNG Galaxy M53 5G,Mystique Green,26999,4,225,20,6,128,6.7,5000
SAMSUNG M01 core,Blue,6490,3.9,10236,837,2,32,5.3,3000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy On Nxt,Gold,11599,4.3,64597,53939,3,64,5.5,3300
SAMSUNG Galaxy A6,Gold,10890,4.3,692,69,4,64,5.6,3000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy Z Fold4 5G,Graygreen,159999,3.2,93,9,12,512,7.6,4400
Samsung Galaxy S21 FE 5G with Snapdragon 888,Graphite,45999,4.3,50166,14030,8,128,6.4,4500
SAMSUNG Galaxy A10,Black,8700,4.4,13190,1031,2,32,6.2,3400
SAMSUNG Galaxy A03 Core,Onyx,7990,4.1,4834,334,2,32,6.5,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A03 Core,Bronze,7999,4.1,4834,334,2,32,6.5,5000
SAMSUNG Galaxy A80,Phantom Black,52000,4.4,5300,693,8,128,6.7,3700
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A13,Blue,20500,4.2,545,27,6,128,6.6,5000
SAMSUNG Galaxy A73 5G,Awesome Gray,41999,4.2,1878,224,8,128,6.7,5000
SAMSUNG Galaxy A50s,Prism Crush White,24900,4.3,48720,4503,4,128,6.4,4000
SAMSUNG Galaxy A31,Prism Crush Blue,16999,4.3,14511,1227,6,128,6.4,5000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy Note 20,Mystic Green,86000,4.3,107,8,8,256,6.7,4300
SAMSUNG Galaxy A05s,Light Violet,12999,4.2,149,8,6,128,6.72,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
Samsung Galaxy S21 FE 5G with Snapdragon 888,Graphite,45999,4.3,50166,14030,8,128,6.4,4500
SAMSUNG Galaxy A03 Core,Onyx,7990,4.1,4834,334,2,32,6.5,5000
SAMSUNG Galaxy M33 5G,Emerald Brown,21999,4.2,13108,897,6,128,6.59,6000
SAMSUNG Galaxy M02,Blue,,3.9,1513,127,2,32,6.55,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A13,Blue,20500,4.2,545,27,6,128,6.6,5000
SAMSUNG Galaxy A50s,Prism Crush White,24900,4.3,48720,4503,4,128,6.4,4000
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A73 5G,Awesome Gray,41999,4.2,1878,224,8,128,6.7,5000
SAMSUNG Galaxy S9,Midnight Black,62500,4.4,30784,2516,4,64,5.8,3000
SAMSUNG Galaxy M33 5G,Emerald Brown,19999,4.2,4939,326,8,128,6.6,6000
SAMSUNG Galaxy A31,Prism Crush Blue,16999,4.3,14511,1227,6,128,6.4,5000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy A04s,Copper,9199,4.2,188,14,4,128,6.5,5000
SAMSUNG Galaxy J2 2018,Gold,8200,4.3,7696,702,2,16,5,2600
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A04,Black,9999,3.8,144,6,4,128,6.5,5000
SAMSUNG Galaxy A30s,Prism Crush Violet,18900,4.3,4351,322,4,64,6.4,4000
SAMSUNG Galaxy A53,Awesome Black,28999,4.1,1918,186,8,128,6.5,5000
SAMSUNG Galaxy A34 5G,Awesome Violet,27499,4.4,102,8,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A04s,Green,17990,4.2,188,14,4,128,6.5,5000
SAMSUNG Galaxy A34 5G,Awesome Lime,39499,4.3,6978,556,8,256,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S22 5G,Bora Purple,,4.4,20603,1668,8,128,6.1,3700
SAMSUNG Galaxy A03s,White,,4,476,35,3,32,6.5,5000
SAMSUNG Galaxy A23,Blue,25450,4.3,676,38,8,128,6.6,5000
SAMSUNG Galaxy Z Flip3 5G,Phantom Black,48999,4.3,9446,599,8,128,6.7,3300
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy M52 5G,Blazing Black,25999,4.2,2488,255,6,128,6.7,5000
SAMSUNG Galaxy S20 FE 5G,Cloud Navy,29000,4.2,3446,228,8,128,6.5,4500
SAMSUNG Galaxy A14 5G,Black,9999,4.2,38089,1721,4,128,6.6,5000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG SM-A356ELBJINS,Awesome Iceblue,25649,,,,8,128,6.6,5000
SAMSUNG Galaxy S22 Ultra 5G,Phantom Black,142999,4.5,420,36,12,512,6.8,5000
